Filter,Threshold,Accuracy Round 1,Accuracy Round 2,AVG Accuracy,STDEV Accuracy
10,75,99.56140350877193,99.11504424778761,99.33822387827976,0.3156236602874309
10,70,99.15611814345992,99.17355371900827,99.1648359312341,0.012328813704126885
5,70,99.20634920634922,98.81422924901186,99.01028922768054,0.2772706808718249
5,75,99.18032786885246,98.78542510121457,98.98287648503351,0.2792384249060858
